# _root_ In a strongly worded response summarizing a filing made in the same court yesterday , GE asserted that `` prosecutors have misstated the testimony of witnesses , distorted documents and ignored important facts . ''
#goldHeads=17,5,4,5,1,5,8,6,8,9,13,13,10,9,17,17,0,21,21,21,17,30,24,22,24,25,30,30,28,21,30,33,31,17,17,
#predictedHeads=17,5,4,5,1,5,8,6,8,9,13,13,10,17,17,17,0,21,21,21,17,21,24,22,24,25,22,30,28,22,30,33,31,17,17,
(21,30),(30,27),(30,17),-0.149314 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,27),(30,16),-0.130202 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,27),(30,15),-0.124885 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,27),(30,14),-0.130202 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,27),(30,13),-0.130202 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,27),(30,12),-0.127756 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,27),(30,11),-0.124885 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,27),(30,10),-0.148313 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,27),(30,9),-0.149314 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,27),(30,8),-0.130202 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,27),(30,6),-0.149314 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,27),(30,5),-0.130202 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,27),(30,4),-0.149314 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,27),(30,3),-0.125926 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,27),(30,1),-0.148313 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,27),(30,-1),-0.170602 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,30),(30,26),(30,25),0.101676 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,26),(30,24),0.121223 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,26),(30,23),0.146465 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,26),(30,22),0.0946623 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,26),(30,21),0.0921225 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,30),(30,26),(30,20),-0.125649 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,26),(30,19),-0.126144 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,26),(30,18),-0.137902 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,26),(30,17),-0.127312 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,26),(30,16),-0.125649 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,26),(30,15),-0.127633 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,26),(30,14),-0.125649 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,26),(30,13),-0.125649 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,26),(30,12),-0.124923 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,26),(30,11),-0.124928 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,26),(30,10),-0.136887 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,26),(30,9),-0.127312 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,26),(30,8),-0.125649 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,26),(30,6),-0.127312 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,26),(30,5),-0.125649 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,26),(30,4),-0.127312 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,26),(30,3),-0.124974 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,26),(30,1),-0.136887 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,26),(30,-1),-0.140355 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,30),(30,25),(30,24),0.108949 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,25),(30,23),0.113896 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,25),(30,22),0.109159 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,25),(30,21),0.109159 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,30),(30,25),(30,20),-0.125007 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,25),(30,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,25),(30,18),-0.125466 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,25),(30,17),-0.124957 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,25),(30,16),-0.125007 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,25),(30,15),-0.125326 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,25),(30,14),-0.125007 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,25),(30,13),-0.125007 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,25),(30,12),-0.124885 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,25),(30,11),-0.124886 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,25),(30,10),-0.125439 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,25),(30,9),-0.124957 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,25),(30,8),-0.125007 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,25),(30,6),-0.124957 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,25),(30,5),-0.125007 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,25),(30,4),-0.124957 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,25),(30,3),-0.125615 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,25),(30,1),-0.125439 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,25),(30,-1),-0.0857455 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,30),(30,24),(30,23),0.146465 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,24),(30,22),0.0946623 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,24),(30,21),0.0921225 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,30),(30,24),(30,20),-0.125649 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,24),(30,19),-0.126144 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,24),(30,18),-0.137902 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,24),(30,17),-0.127312 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,24),(30,16),-0.125649 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,24),(30,15),-0.127633 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,24),(30,14),-0.125649 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,24),(30,13),-0.125649 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,24),(30,12),-0.124923 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,24),(30,11),-0.124928 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,24),(30,10),-0.136887 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,24),(30,9),-0.127312 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,24),(30,8),-0.125649 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,24),(30,6),-0.127312 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,24),(30,5),-0.125649 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,24),(30,4),-0.127312 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,24),(30,3),-0.124974 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,24),(30,1),-0.136887 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,24),(30,-1),-0.140477 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,30),(30,23),(30,22),0.111044 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,23),(30,21),0.110701 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,30),(30,23),(30,20),-0.125179 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,23),(30,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,23),(30,18),-0.126338 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,23),(30,17),-0.124885 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,23),(30,16),-0.125179 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,23),(30,15),-0.124885 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,23),(30,14),-0.125179 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,23),(30,13),-0.125179 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,23),(30,12),-0.124885 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,23),(30,11),-0.124885 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,23),(30,10),-0.124906 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,23),(30,9),-0.124885 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,23),(30,8),-0.125179 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,23),(30,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,23),(30,5),-0.125179 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,23),(30,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,23),(30,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,23),(30,1),-0.124906 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,23),(30,-1),-0.082663 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,30),(30,22),(30,21),0.0690923 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,30),(30,22),(30,20),-0.133158 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,22),(30,19),-0.12607 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,22),(30,18),-0.125435 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,22),(30,17),-0.114493 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,22),(30,16),-0.133158 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,22),(30,15),-0.126177 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,22),(30,14),-0.133158 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,22),(30,13),-0.133158 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,22),(30,12),-0.124892 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,22),(30,11),-0.125938 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,22),(30,10),-0.127859 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,22),(30,9),-0.114493 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,22),(30,8),-0.133158 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,22),(30,6),-0.114493 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,22),(30,5),-0.133158 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,22),(30,4),-0.114493 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,22),(30,3),-0.124974 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,22),(30,1),-0.127859 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,22),(30,-1),-0.141899 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,30),(30,21),(30,20),-0.13316 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,30),(30,21),(30,19),-0.126072 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,30),(30,21),(30,18),-0.125562 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,30),(30,21),(30,17),-0.114493 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,30),(30,21),(30,16),-0.13316 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,30),(30,21),(30,15),-0.126177 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,30),(30,21),(30,14),-0.13316 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,30),(30,21),(30,13),-0.13316 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,30),(30,21),(30,12),-0.124892 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,30),(30,21),(30,11),-0.125938 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,30),(30,21),(30,10),-0.127987 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,30),(30,21),(30,9),-0.114493 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,30),(30,21),(30,8),-0.13316 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,30),(30,21),(30,6),-0.114493 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,30),(30,21),(30,5),-0.13316 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,30),(30,21),(30,4),-0.114493 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,30),(30,21),(30,3),-0.124974 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,30),(30,21),(30,1),-0.127987 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,30),(30,21),(30,-1),-0.12918 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(21,30),(30,20),(30,19),-0.126144 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,20),(30,18),-0.137903 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,20),(30,17),-0.127312 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,20),(30,16),-0.125649 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,20),(30,15),-0.127633 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,20),(30,14),-0.125649 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,20),(30,13),-0.125649 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,20),(30,12),-0.124923 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,20),(30,11),-0.124928 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,20),(30,10),-0.136887 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,20),(30,9),-0.127312 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,20),(30,8),-0.125649 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,20),(30,6),-0.127312 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,20),(30,5),-0.125649 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,20),(30,4),-0.127312 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,20),(30,3),-0.124974 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,20),(30,1),-0.136887 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,20),(30,-1),-0.140413 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,30),(30,19),(30,18),-0.125143 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,19),(30,17),-0.125016 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,19),(30,16),-0.125536 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,19),(30,15),-0.124894 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,19),(30,14),-0.125536 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,19),(30,13),-0.125536 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,19),(30,12),-0.125015 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,19),(30,11),-0.124982 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,19),(30,10),-0.125132 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,19),(30,9),-0.125016 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,19),(30,8),-0.125536 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,19),(30,6),-0.125016 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,19),(30,5),-0.125536 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,19),(30,4),-0.125016 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,19),(30,3),-0.124892 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,19),(30,1),-0.125132 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,19),(30,-1),-0.150357 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,30),(30,18),(30,17),-0.124957 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,18),(30,16),-0.125063 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,18),(30,15),-0.125473 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,18),(30,14),-0.125063 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,18),(30,13),-0.125063 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,18),(30,12),-0.124885 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,18),(30,11),-0.124886 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,18),(30,10),-0.125435 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,18),(30,9),-0.124957 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,18),(30,8),-0.125063 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,18),(30,6),-0.124957 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,18),(30,5),-0.125063 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,18),(30,4),-0.124957 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,18),(30,3),-0.125615 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,18),(30,1),-0.125435 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,18),(30,-1),-0.0474151 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,30),(30,17),(30,16),-0.133158 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,17),(30,15),-0.126177 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,17),(30,14),-0.133158 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,17),(30,13),-0.133158 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,17),(30,12),-0.124892 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,17),(30,11),-0.125938 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,17),(30,10),-0.127859 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,17),(30,9),-0.114493 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,17),(30,8),-0.133158 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,17),(30,6),-0.114493 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,17),(30,5),-0.133158 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,17),(30,4),-0.114493 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,17),(30,3),-0.124974 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,17),(30,1),-0.127859 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,17),(30,-1),-0.141918 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,30),(30,16),(30,15),-0.127633 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,16),(30,14),-0.125649 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,16),(30,13),-0.125649 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,16),(30,12),-0.124923 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,16),(30,11),-0.124928 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,16),(30,10),-0.136887 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,16),(30,9),-0.127312 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,16),(30,8),-0.125649 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,16),(30,6),-0.127312 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,16),(30,5),-0.125649 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,16),(30,4),-0.127312 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,16),(30,3),-0.124974 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,16),(30,1),-0.136887 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,16),(30,-1),-0.140386 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,30),(30,15),(30,14),-0.130202 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,15),(30,13),-0.130202 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,15),(30,12),-0.127756 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,15),(30,11),-0.124885 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,15),(30,10),-0.148313 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,15),(30,9),-0.149314 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,15),(30,8),-0.130202 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,15),(30,6),-0.149314 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,15),(30,5),-0.130202 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,15),(30,4),-0.149314 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,15),(30,3),-0.125926 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,15),(30,1),-0.148313 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,15),(30,-1),-0.170602 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,30),(30,14),(30,13),-0.125649 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,14),(30,12),-0.124923 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,14),(30,11),-0.124928 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,14),(30,10),-0.136947 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,14),(30,9),-0.127312 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,14),(30,8),-0.125649 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,14),(30,6),-0.127312 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,14),(30,5),-0.125649 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,14),(30,4),-0.127312 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,14),(30,3),-0.124974 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,14),(30,1),-0.136947 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,14),(30,-1),-0.143216 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,30),(30,13),(30,12),-0.124923 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,13),(30,11),-0.124928 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,13),(30,10),-0.136887 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,13),(30,9),-0.127312 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,13),(30,8),-0.125649 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,13),(30,6),-0.127312 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,13),(30,5),-0.125649 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,13),(30,4),-0.127312 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,13),(30,3),-0.124974 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,13),(30,1),-0.136887 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,13),(30,-1),-0.14345 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,30),(30,12),(30,11),-0.124893 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,12),(30,10),-0.126081 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,12),(30,9),-0.124888 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,12),(30,8),-0.125275 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,12),(30,6),-0.124888 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,12),(30,5),-0.125275 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,12),(30,4),-0.124888 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,12),(30,3),-0.125019 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,12),(30,1),-0.126081 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,12),(30,-1),-0.161469 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,30),(30,11),(30,10),-0.124906 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,11),(30,9),-0.124885 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,11),(30,8),-0.125179 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,11),(30,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,11),(30,5),-0.125179 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,11),(30,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,11),(30,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,11),(30,1),-0.124906 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,11),(30,-1),-0.082663 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,30),(30,10),(30,9),-0.124993 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,10),(30,8),-0.125006 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,10),(30,6),-0.124993 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,10),(30,5),-0.125006 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,10),(30,4),-0.124993 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,10),(30,3),-0.125895 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,10),(30,1),-0.12568 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,10),(30,-1),-0.0442179 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,30),(30,9),(30,8),-0.133158 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,9),(30,6),-0.114493 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,9),(30,5),-0.133158 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,9),(30,4),-0.114493 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,9),(30,3),-0.124974 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,9),(30,1),-0.127859 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,9),(30,-1),-0.144543 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,30),(30,8),(30,6),-0.127312 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,8),(30,5),-0.125649 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,8),(30,4),-0.127312 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,8),(30,3),-0.124974 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,8),(30,1),-0.136887 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,8),(30,-1),-0.142023 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,30),(30,6),(30,5),-0.133158 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,6),(30,4),-0.114493 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,6),(30,3),-0.124974 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,6),(30,1),-0.127859 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,6),(30,-1),-0.141899 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,30),(30,5),(30,4),-0.127312 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,5),(30,3),-0.124974 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,5),(30,1),-0.136887 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,5),(30,-1),-0.140362 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,30),(30,4),(30,3),-0.124974 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,4),(30,1),-0.127859 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,4),(30,-1),-0.141899 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,30),(30,3),(30,1),-0.125987 # DEPENDENCYPART_GRANDSIBL
(21,30),(30,3),(30,-1),-0.0330116 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,30),(30,1),(30,-1),-0.0442179 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,33),(33,33),(33,34),-0.019583 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
